"","translatedText","detectedSourceLanguage","text"
"116","Oyster cocktail","en","Oyster cocktail"
"117","Little Neck clams","en","Little Neck clams"
"118","Stuffed olives","en","Stuffed olives"
"119","Malaga grapes","en","Malaga grapes"
"120","Oatmeal","en","Oatmeal"
"121","hominy with milk","en","hominy with milk"
"122","Baked apples","en","Baked apples"
"123","PATTIES OF SWEET BREADS, A LA TOULOUSE","en","PATTIES OF SWEET BREADS, A LA TOULOUSE"
"124","Chicken broth, per cup","en","Chicken broth, per cup"
"125","Terrapin, Maryland","en","Terrapin, Maryland"
"126","Sardines on toast","en","Sardines on toast"
"127","Tutti Frutti","it","Tutti frutti"
"128","Lady fingers","en","Lady fingers"
"129","Marrow bones on toast","en","Marrow bones on toast"
"130","Fresh mushrooms on toast","en","Fresh mushrooms on toast"
"131","Farm Sausage","en","Farm Sausage"
"132","Club sandwich","en","Club sandwich"
"133","Baked Stuffed Mullet & Sauce Pomard","en","Baked Stuffed Mullet & Sauce Pomard"
"134","Marine tuna","fr","Thon marine"
"135","Croquettes of sweetbreads","en","Croquettes of sweetbreads"
"136","Strawberry","en","Strawberry"
"137","Oyster Bay asparagus","en","Oyster Bay asparagus"
"138","SMALL TENDERLOIN STEAK, A LA STANLEY","en","SMALL TENDERLOIN STEAK, A LA STANLEY"
"139","Chicken broth","en","Chicken broth"
"140","Fruits in Season","en","Fruits in Season"
"141","Salt Codfish, Spanish Style","en","Salt Codfish, Spanish Style"
"142","Oatmeal Porridge","en","Oatmeal Porridge"
"143","Plain Omelette","en","Plain Omelette"
"144","Puree of beans","en","Puree of beans"
"145","Fried Flounders","en","Fried Flounders"
"146","Strawberry short cake","en","Strawberry short cake"
"147","Fried fish","en","Fried fish"
"148","Oxford Sausage","en","Oxford Sausage"
"149","BUZZARD BAY OYSTERS","en","BUZZARD BAY OYSTERS"
"150","Strained gumbo","en","Strained gumbo"
"151","Queen olives","en","Queen olives"
"152","Chow chow","en","Chow chow"
"153","Panfish, Meuniere","en","Panfish, Meuniere"
"154","German fried potatoes","en","German fried potatoes"
"155","Ribs of prime beef","en","Ribs of prime beef"
"156","Calf's tongue, caper sauce","en","Calf's tongue, caper sauce"
"157","Luncheon","en","Luncheon"
"158","Assorted cakes","en","Assorted cakes"
"159","Scollops in crate, Supreme","co","Scollops en caisse, Supreme"
"160","Irish stew","en","Irish stew"
"161","Marrow on toast, Bordelaise","en","Marrow on toast, Bordelaise"
"162","Lobster salad","en","Lobster salad"
"163","Potato salad","en","Potato salad"
"164","Chicken salad","en","Chicken salad"
"165","Spinach with egg","en","Spinach with egg"
"166","Boiled potatoes","en","Boiled potatoes"
"167","Hot buns","en","Hot buns"
"168","Tongue","en","Tongue"
"169","Lemon ice cream","en","Lemon ice cream"
"170","Pickled lambs' tongues","en","Pickled lambs' tongues"
"171","Blackberry tarts","en","Blackberry tarts"
"172","Apricots","en","Apricots"
"173","Red currant jam","en","Red currant jam"
"174","Chipped beef","en","Chipped beef"
"175","Turkey","en","Turkey"
"176","Crackers","en","Crackers"
"177","Chocolate","en","Chocolate"
"178","Roast beef","en","Roast beef"
"179","Corned beef","en","Corned beef"
"180","Lamb","en","Lamb"
"181","Cumberland ham","en","Cumberland ham"
"182","Chicken","en","Chicken"
"183","Fried Eggs","en","Fried Eggs"
"184","Broiled Ham","en","Broiled Ham"
"185","Roast veal","en","Roast veal"
"186","Rolls","en","Rolls"
"187","Griddle cakes","en","Griddle cakes"
"188","Porterhouse Steak","en","Porterhouse Steak"
"189","Tenderloin Steak","en","Tenderloin Steak"
"190","Sirloin Steak","en","Sirloin Steak"
"191","Filet mignon, Lyonnaise","fr","Filet mignon, Lyonnaise"
"192","All Kinds of Pies per cut","en","All Kinds of Pies per cut"
"193","Sandwiches of all Kinds","en","Sandwiches of all Kinds"
"194","Small Steak","en","Small Steak"
"195","Hamburger Steak","en","Hamburger Steak"
"196","Veal Chops or Cutlets","en","Veal Chops or Cutlets"
"197","Pork Chops","en","Pork Chops"
"198","Ham & Eggs","en","Ham & Eggs"
"199","Bacon & Eggs","en","Bacon & Eggs"
"200","Fried Liver","en","Fried Liver"
"201","German Pancake","en","German Pancake"
"202","Oysters & Clams","en","Oysters & Clams"
"203","Hominy","en","Hominy"
"204","Sorrel omelete","fr","Omelette a l'Oseille"
"205","Black Butter Eggs","fr","Eggs au Beurre Noir"
"206","Sirloin Steak with Mushrooms","en","Sirloin Steak with Mushrooms"
"207","Grilled Ham","en","Grilled Ham"
"208","Calves Liver & Bacon","en","Calves Liver & Bacon"
"209","Lamb Hash Border","ca","Lamb Hash - en Bordure"
"210","Mutton Chops - Mashed Potatoes","en","Mutton Chops - Mashed Potatoes"
"211","Corn Cakes","en","Corn Cakes"
"212","Marmalade","en","Marmalade"
"213","Hour","id","Jam"
"214","Cocoa","en","Cocoa"
"215","Oat Meal","en","Oat Meal"
"216","Scrambled Eggs","en","Scrambled Eggs"
"217","Poached Eggs on Toast","en","Poached Eggs on Toast"
"218","Broiled Fresh Mackerel","en","Broiled Fresh Mackerel"
"219","Chicken Liver with Bacon","en","Chicken Liver with Bacon"
"220","Minced Veal a la Zingari","it","Minced Veal a la Zingari"
"221","Lyonnaise Potatoes","fr","Lyonnaise Potatoes"
"222","Baked Weakfish","en","Baked Weakfish"
"223","Half and Half Scallops & Oysters","en","Half and Half Scallops & Oysters"
"224","Hot Pork Chops Sauce","fr","Pork Chops Piquante Sauce"
"225","Broiled Kidney with Bacon","en","Broiled Kidney with Bacon"
"226","Dry Toast","en","Dry Toast"
"227","Bunns","no","Bunns"
"228","Graham Muffins","en","Graham Muffins"
"229","Hot Cakes","en","Hot Cakes"
"230","Tea and Coffee","en","Tea and Coffee"
"231","Eggnog, sambayon, frolada, with bread","es","Ponche de huevo, sambayon, frolada, con pan"
"232","Findon Haddock","en","Findon Haddock"
"233","Boiled Whiting and Parsley Sauce","en","Boiled Whiting and Parsley Sauce"
"234","Haricot Mutton","en","Haricot Mutton"
"235","Sausages and Mashed Potatoes","en","Sausages and Mashed Potatoes"
"236","Veal and Ham Pie","en","Veal and Ham Pie"
"237","Roast Lamb","en","Roast Lamb"
"238","Fried Flounder","en","Fried Flounder"
"239","Fillet Steaks with Mushrooms","fr","Fillet Steaks aux Champignon"
"240","oatmeal with cream","en","oatmeal with cream"
"241","broiled shad","en","broiled shad"
"242","Milk stew","en","Milk stew"
"243","Beef Steak","en","Beef Steak"
"244","Saratoga Chips","en","Saratoga Chips"
"245","Grilled Mutton Chops","en","Grilled Mutton Chops"
"246","Dried Hash","en","Dried Hash"
"247","Sausage","en","Sausage"
"248","Puerto Rico","pt","Porto-Rico"
"249","Buckwheat Cakes","en","Buckwheat Cakes"
"250","Sliced Pineapples","en","Sliced Pineapples"
"251","Broiled Salt Mackerel","en","Broiled Salt Mackerel"
"252","Shad roe and bacon","en","Shad roe and bacon"
"253","Minced scallops on toast","en","Minced scallops on toast"
"254","Steak Pie","en","Steak Pie"
"255","Mutton","en","Mutton"
"256","Fry with Bacon","en","Fry with Bacon"
"257","Oyster Omelette","en","Oyster Omelette"
"258","Pork Sausage","en","Pork Sausage"
"259","Corned Beef Hash","en","Corned Beef Hash"
"260","Broiled Mackerel, Butter Sauce","en","Broiled Mackerel, Butter Sauce"
"261","Mock Turtle","en","Mock Turtle"
"262","Puree of Tomatoes","en","Puree of Tomatoes"
"263","Filet Steaks with Mushrooms","fr","Filet Steaks aux Champignon"
"264","Minced Chicken, Creamed Rice","en","Minced Chicken, Creamed Rice"
"265","Tripe, Spanish Style","en","Tripe, Spanish Style"
"266","Eggs to order","en","Eggs to order"
"267","Consume Maceo","fr","Consomme Maceo"
"268","Chicken Mulligatawny","en","Chicken Mulligatawny"
"269","Split Rolls","en","Split Rolls"
"270","French bread","en","French bread"
"271","Corn bread","en","Corn bread"
"272","Crumb Fry","en","Crumb Fry"
"273","English Beef","en","English Beef"
"274","Beef Stew","en","Beef Stew"
"275","Tomato Soup","en","Tomato Soup"
"276","Filet of sole a la Horly","en","Filet of sole a la Horly"
"277","Diamond back terrapin","en","Diamond back terrapin"
"278","Sausage & Mashed Potatoes","en","Sausage & Mashed Potatoes"
"279","Fried Jew Fish, Sauce Tartare","en","Fried Jew Fish, Sauce Tartare"
"280","Fruit in Season","en","Fruit in Season"
"281","GREEN PEAS","en","GREEN PEAS"
"282","Fried country sausage and buckwheat cakes","en","Fried country sausage and buckwheat cakes"
"283","Stewed california prunes","en","Stewed california prunes"
"284","Ham omelette","da","Ham omelette"
"285","Fried hominy","en","Fried hominy"
"286","Broiled bluefish","en","Broiled bluefish"
"287","Egg, to order","en","Egg, to order"
"288","Boiled or Broiled Salt Mackerel","en","Boiled or Broiled Salt Mackerel"
"289","Whitefish","en","Whitefish"
"290","Shad, Maitre d'Hotel","fr","Shad, Maitre d'Hotel"
"291","Codfish in Cream","en","Codfish in Cream"
"292","Fried Scollops","it","Fried Scollops"
"293","Breakfast Bacon","en","Breakfast Bacon"
"294","Calf's Liver and Bacon","en","Calf's Liver and Bacon"
"295","Pork Spare Ribs","en","Pork Spare Ribs"
"296","English Mutton Chops","en","English Mutton Chops"
"297","Broiled Spring Chicken","en","Broiled Spring Chicken"
"298","Sirloin or Tenderloin Steak","en","Sirloin or Tenderloin Steak"
"299","Corned Beef Hash, Browned","en","Corned Beef Hash, Browned"
"300","Veal Cutlets, Breaded, Tomato Sauce","en","Veal Cutlets, Breaded, Tomato Sauce"
"301","Stewed Honeycomb Tripe, Lyonnaise","en","Stewed Honeycomb Tripe, Lyonnaise"
"302","Frizzled Beef, in Cream","en","Frizzled Beef, in Cream"
"303","Eggs as Ordered","en","Eggs as Ordered"
"304","Fried Indian Mush or Hominy","en","Fried Indian Mush or Hominy"
"305","French Fried","en","French Fried"
"306","Lyonnaise","fr","Lyonnaise"
"307","Stewed in Cream","en","Stewed in Cream"
"308","Jumped up","fr","Saute"
"309","Rye, Graham or Boston Brown Bread","en","Rye, Graham or Boston Brown Bread"
"310","Shredded Wheat Biscuits","en","Shredded Wheat Biscuits"
"311","Vienna Rolls","en","Vienna Rolls"
"312","Papovers","en","Papovers"
"313","wheat or Buckwheat Cakes, with Maple Syrup","en","wheat or Buckwheat Cakes, with Maple Syrup"
"314","Corn Meal Mush","en","Corn Meal Mush"
"315","Boiled","en","Boiled"
"316","Broiled Blue Fish","en","Broiled Blue Fish"
"317","Chicken Liver on Toast with Bacon","en","Chicken Liver on Toast with Bacon"
"318","PUNCH, REPUBLICAN","en","PUNCH, REPUBLICAN"
"319","Puff over","en","Puff over"
"320","Passion Fruit","en","Passion Fruit"
"321","Kippered Herrings","en","Kippered Herrings"
"322","Curried Pork and Rice","en","Curried Pork and Rice"
"323","Stewed Tripe with Cream sauce","en","Stewed Tripe with Cream sauce"
"324","Eggs, boiled","en","Eggs, boiled"
"325","Fillets of Beef with Mushrooms","en","Fillets of Beef with Mushrooms"
"326","Consume Macaroni","fr","Consomme Macaroni"
"327","Hard Boiled Egg","en","Hard Boiled Egg"
"328","Cream Cheese","en","Cream Cheese"
"329","Broiled Mackerel - Maitre d'Hotel","en","Broiled Mackerel - Maitre d'Hotel"
"330","Sirloin Steak -- Fried Onions","en","Sirloin Steak -- Fried Onions"
"331","Devilled Chicken","en","Devilled Chicken"
"332","Lamb Hash and Border","ca","Lamb Hash en Bordure"
"333","Shirred Eggs","en","Shirred Eggs"
"334","Broiled Salmon Trout","en","Broiled Salmon Trout"
"335","Grilled Mutton Kidneys & Bacon","en","Grilled Mutton Kidneys & Bacon"
"336","Fried Halibut, Sauce Tartare","en","Fried Halibut, Sauce Tartare"
"337","Curried Prawns and Rice, Bombay Duck","en","Curried Prawns and Rice, Bombay Duck"
"338","Lamb Chops, Broiled Plain","en","Lamb Chops, Broiled Plain"
"339","Whiting - Meuniere","en","Whiting - Meuniere"
"340","Broiled Rashers of Bacon with Fried Bananas","en","Broiled Rashers of Bacon with Fried Bananas"
"341","Sirloin Steak - Fried Onions","en","Sirloin Steak - Fried Onions"
"342","Lambs' Liver Saute","en","Lambs' Liver Saute"
"343","Tripe Fritters","en","Tripe Fritters"
"344","Grilled ham","fr","Jambon Grille"
"345","Mutton Chops - Saute Potatoes","en","Mutton Chops - Saute Potatoes"
"346","Calfs Liver + Bacon","en","Calfs Liver + Bacon"
"347","Cold Smoked Tongue and Ham","en","Cold Smoked Tongue and Ham"
"348","Fried & Boiled Potatoes","en","Fried & Boiled Potatoes"
"349","Sirloin Steaks aux Cepes","en","Sirloin Steaks aux Cepes"
"350","Beefsteaks with Horseradish","en","Beefsteaks with Horseradish"
"351","Dry and buttered Toast","en","Dry and buttered Toast"
"352","English Muffins","en","English Muffins"
"353","Salt Cod, Egg Sauce","en","Salt Cod, Egg Sauce"
"354","Rice Cakes","en","Rice Cakes"
"355","Honey in the Comb","en","Honey in the Comb"
"356","Quail on Toast","en","Quail on Toast"
"357","Broiled Green Bluefish, Drawn Butter","en","Broiled Green Bluefish, Drawn Butter"
"358","Roast Leg of Mutton & Black Currant","en","Roast Leg of Mutton & Black Currant"
"359","Frizzled Breakfast Bacon (to order)","en","Frizzled Breakfast Bacon (to order)"
"360","French Fried Potatoes with Dinner Orders","en","French Fried Potatoes with Dinner Orders"
"361","Beefsteak and Onions","en","Beefsteak and Onions"
"362","Roast (Vancouver) Suckling Pig & Bread Sauce","en","Roast (Vancouver) Suckling Pig & Bread Sauce"
"363","Saute of Kidney","en","Saute of Kidney"
"364","Knuckle of Veal, Bacon & Parsely Sauce","en","Knuckle of Veal, Bacon & Parsely Sauce"
"365","Coffee, Tea or Cocoa","en","Coffee, Tea or Cocoa"
"366","Scrambled Eggs and Bacon","en","Scrambled Eggs and Bacon"
"367","liver and bacon","en","liver and bacon"
"368","Fried Chicken a la Maryland","en","Fried Chicken a la Maryland"
"369","Salt mackerel","en","Salt mackerel"
"370","Cold Ham with Potato Salad","en","Cold Ham with Potato Salad"
"371","mutton chops with potato chips","en","mutton chops with potato chips"
"372","Pork Sausage and Lyonaisse Potatoes","en","Pork Sausage and Lyonaisse Potatoes"
"373","Tenderloin of pork, Robert sauce","en","Tenderloin of pork, Robert sauce"
"374","Roast Goose & Apple Sauce","en","Roast Goose & Apple Sauce"
"375","Oyster Stew","en","Oyster Stew"
"376","Hot Breads","en","Hot Breads"
"377","Pork Sausage and Lyonnaise Potatoes","en","Pork Sausage and Lyonnaise Potatoes"
"378","Baked Apple Dumpling, Hard Sauce","en","Baked Apple Dumpling, Hard Sauce"
"379","Potato at the Maitre d'Hotel","ca","Potato a la Maitre d'Hotel"
"380","Cracked Wheat with Fresh Milk","en","Cracked Wheat with Fresh Milk"
"381","Boiled Cabbage","en","Boiled Cabbage"
"382","Strawberries and Cream","en","Strawberries and Cream"
"383","Chicken Liver with Mushrooms","en","Chicken Liver with Mushrooms"
"384","Mashed Pumpkins","en","Mashed Pumpkins"
"385","Roast in shell","en","Roast in shell"
"386","Bread Pudding, Hard Sauce","en","Bread Pudding, Hard Sauce"
"387","Indo Curry & Rice","en","Indo Curry & Rice"
"388","Steamed Apple Pudding & Hard Sauce","en","Steamed Apple Pudding & Hard Sauce"
"389","Rice or Tapioca Pudding","en","Rice or Tapioca Pudding"
"390","Fruit Pie","en","Fruit Pie"
"391","Chocolate Pudding with Cream","en","Chocolate Pudding with Cream"
"392","Scotch Sandwiches","en","Scotch Sandwiches"
"393","Chocolate Cream & Sauce","en","Chocolate Cream & Sauce"
"394","Corn Starch Pudding with Cream","en","Corn Starch Pudding with Cream"
"395","Swiss Rolls","en","Swiss Rolls"
"396","Cold Ham","en","Cold Ham"
"397","Cup Custard","en","Cup Custard"
"398","Codfish Cakes","en","Codfish Cakes"
"399","Jam and Marmalade","en","Jam and Marmalade"
"400","Lettuce","en","Lettuce"
"401","When you-quater","la","Cum-quats"
"402","Raisin and Pound Cake","en","Raisin and Pound Cake"
"403","Orange","en","Orange"
"404","Fillet Steak and Lamb Chops to Order","en","Fillet Steak and Lamb Chops to Order"
"405","Calf's Liver Saute","en","Calf's Liver Saute"
"406","Brazil Nuts","en","Brazil Nuts"
"407","Almonds & Raisins","en","Almonds & Raisins"
"408","Cheshire Cheese","en","Cheshire Cheese"
"409","Stilton Cheese","en","Stilton Cheese"
"410","Broiled Lambs Kidney","en","Broiled Lambs Kidney"
"411","MacLaren Cheese","en","MacLaren Cheese"
"412","China & Indian Teas","en","China & Indian Teas"
"413","Stewed Tripe Spanish","en","Stewed Tripe Spanish"
"414","Eggs Bacon and Ham to Order","en","Eggs Bacon and Ham to Order"
"415","Breakfast Jem","en","Breakfast Jem"
"416","Breakfast Rolls","en","Breakfast Rolls"
"417","Butter Cakes with Maple Syrup","en","Butter Cakes with Maple Syrup"
"418","Bananas & Apples","en","Bananas & Apples"
"419","Hot Rolls","en","Hot Rolls"
"420","Tea Coffee and Cocoa","en","Tea Coffee and Cocoa"
"421","Boiled Mackerel","en","Boiled Mackerel"
"422","Findon Haddocks","en","Findon Haddocks"
"423","Curried Pork & Rice","en","Curried Pork & Rice"
"424","Fillet Steaks and Mushrooms","en","Fillet Steaks and Mushrooms"
"425","Veal Cutlets, Tomato Sauce","ro","Cotelettes de Veau, Sauce Tomate"
"426","Boiled Fried potatoes","en","Boiled Fried potatoes"
"427","Pork Sausages, Snowflake Potatoes","en","Pork Sausages, Snowflake Potatoes"
"428","Lambs' Liver with Bacon","en","Lambs' Liver with Bacon"
"429","Tea + Coffee","en","Tea + Coffee"
"430","Mutton Chops & Potato Chips","en","Mutton Chops & Potato Chips"
"431","Lemon casserole","de","Citronen-Auflauf"
"432","Cape Horn Hash","en","Cape Horn Hash"
"433","A. A. Oats with Fresh Milk","en","A. A. Oats with Fresh Milk"
"434","Fried Whiting","en","Fried Whiting"
"435","Flannel Cakes","en","Flannel Cakes"
"436","Saute of Sheeps Kidney","en","Saute of Sheeps Kidney"
"437","Fillet Steak Fried Potatoes","en","Fillet Steak Fried Potatoes"
"438","Finnon Haddock Butter Sauce","sv","Finnon Haddock Butter Sauce"
"439","Mutton Stew","en","Mutton Stew"
"440","Broiled Lamb Chops","en","Broiled Lamb Chops"
"441","Eggs, Bacon and Ham to Order","en","Eggs, Bacon and Ham to Order"
"442","Wheat Cakes","en","Wheat Cakes"
"443","N.Y. Public Library","es","N.Y. Public Library"
"444","Beef Steak & onions","en","Beef Steak & onions"
"445","Fried Bananas","en","Fried Bananas"
"446","Egg to Order","en","Egg to Order"
"447","Beef Steak and Champignons","en","Beef Steak and Champignons"
"448","Boiled potato","en","Boiled potato"
"449","Currant Buns","en","Currant Buns"
"450","Waffle","en","Waffle"
"451","Jam & Marmalade","id","Jam & Marmalade"
"452","Broiled or Fried Spring Chicken","en","Broiled or Fried Spring Chicken"
"453","Fruit.","en","Fruit."
"454","Sirloin Steaks with Onions","en","Sirloin Steaks with Onions"
"455","Dipped Toast","en","Dipped Toast"
"456","Tripe a la Bordelaise","fr","Tripe a la Bordelaise"
"457","Extra Order of Meat, Fish or Eggs, 10c.","en","Extra Order of Meat, Fish or Eggs, 10c."
"458","Curried Chicken with Rice","en","Curried Chicken with Rice"
"459","Mutton Chops","en","Mutton Chops"
"460","Potato Chips","en","Potato Chips"
"461","Curried Veal and Rice","en","Curried Veal and Rice"
"462","Broiled Rashers of Bacon","en","Broiled Rashers of Bacon"
"463","Cold: Ox Tongue","en","Cold: Ox Tongue"
"464","Tripe, Stewed in Cream","en","Tripe, Stewed in Cream"
"465","Egg Muffins","en","Egg Muffins"
"466","Devilled Mutton Kidneys and Bacon","en","Devilled Mutton Kidneys and Bacon"
"467","Coffee Cake","en","Coffee Cake"
"468","Fried Sausages, Mashed Potatoes","en","Fried Sausages, Mashed Potatoes"
"469","Devilled Kidney","en","Devilled Kidney"
"470","Pettijohn","en","Pettijohn"
"471","Fried Ham & Eggs","en","Fried Ham & Eggs"
"472","Boiled Cracked Wheat","en","Boiled Cracked Wheat"
"473","Spanish Omelettes","en","Spanish Omelettes"
"474","Calves Liver and Onions","en","Calves Liver and Onions"
"475","Mutton Chops (to order)","en","Mutton Chops (to order)"
"476","Lamb Chops","en","Lamb Chops"
"477","Jacket Potatoes","en","Jacket Potatoes"
"478","Onions","en","Onions"
"479","Boiled Corn Meal with Cream","en","Boiled Corn Meal with Cream"
"480","Maple Syrup","en","Maple Syrup"
"481","Curried Shrimps and Rice","en","Curried Shrimps and Rice"
"482","Fried Fresh Fish","en","Fried Fresh Fish"
"483","Honey","en","Honey"
"484","Fillet Steaks with Mushrooms","en","Fillet Steaks with Mushrooms"
"485","Porterhouse Steak and Lamb Chops","en","Porterhouse Steak and Lamb Chops"
"486","Tongues and Sounds","en","Tongues and Sounds"
"487","Cornmeal Mush","en","Cornmeal Mush"
"488","Breakfast Delight","en","Breakfast Delight"
"489","Fresh Comb Honey","en","Fresh Comb Honey"
"490","Broiled Boned Smelts","en","Broiled Boned Smelts"
"491","Blue Points on the Shell","en","Blue Points on the Shell"
"492","Broiled Lobster","en","Broiled Lobster"
"493","Fried Country Sausages and Lima Beans","en","Fried Country Sausages and Lima Beans"
"494","Oxtail Ragout and Vegetable","en","Oxtail Ragout and Vegetable"
"495","Oyster Pan Roast on Toast","en","Oyster Pan Roast on Toast"
"496","Mutton Chops Bratonne","en","Mutton Chops Bratonne"
"497","Broiled Chicken with Petit Pois","en","Broiled Chicken with Petit Pois"
"498","Roast Leg of English Mutton","en","Roast Leg of English Mutton"
"499","Lynnhavens","en","Lynnhavens"
"500","Hamburger Steak and Onions","en","Hamburger Steak and Onions"
"501","Pork Sausages","en","Pork Sausages"
"502","Veal Cutlets Breaded","en","Veal Cutlets Breaded"
"503","Little Neck Clams on the Shell","en","Little Neck Clams on the Shell"
"504","Frankfurter Sausages and Sauerkraut","en","Frankfurter Sausages and Sauerkraut"
"505","Cape Cods","en","Cape Cods"
"506","Curried Prawns and Rice with Bombay Duck","en","Curried Prawns and Rice with Bombay Duck"
