name,translate,actual,predicted
"Broiled Mountain Trout, Salt Pork","Broiled Mountain Trout, Salt Pork",0,1
"Extra Fish or Meat Orders, 10cts.","Extra Fish or Meat Orders, 10cts.",1,0
"Long Island Brook Trout saute, Meuniere","Long Island Brook Trout saute, Meuniere",0,1
Fried Skinned Perch,Fried Skinned Perch,0,1
"Fried Salt Pork, Plain or Cream Sauce","Fried Salt Pork, Plain or Cream Sauce",0,1
Georgetown planked shad,Georgetown planked shad,0,1
"Jelly, Crab apple","Jelly, Crab apple",0,1
"Frischer Hummer, Mayonnaise","Fresh lobster, mayonnaise",0,1
"Parsnips, stewed or fried","Parsnips, stewed or fried",0,1
"Truite Froide, Remoulade","Cold Trout, Remoulade",0,1
Sopa de mock Tortuga,Tortuga mock soup,1,0
Tortilla con Ostiones,Omelette with Oysters,0,1
"Filete de Trucha, Frito o a la Parrilla","Trout Fillet, Fried or Grilled",0,1
Courtbouillion de Pescado,Fish Courtbouillion,0,1
"Maquerau espagnol, Bearnaise","Spanish mackerel, Bearnaise",0,1
Ranas 1/2 doc.,Frogs 1/2 doc.,0,1
Pickerel,Pickerel,1,0
Baked Long Beach Bluefish a la Mariniere,Baked Long Beach Bluefish a la Mariniere,0,1
"Heilbutt-Schnitte, Tomatensauce","Halibut slices, tomato sauce",0,1
Peche Cardinal:,Cardinal Fishing:,0,1
Harengs Moutarde,Herring Mustard,0,1
Gekochte Goldmakrele,Boiled golden mackerel,0,1
Gebacken. Fisch,Baked. fish,0,1
Rumpsteak m. Meerrettig,Rump steak m. Horseradish,0,1
Whitebait en corbeille,Whitebait in basket,1,0
"Boiled, Fried, Shirred, or Scrambled","Boiled, Fried, Shirred, or Scrambled",1,0
Fish Cakes Cream or Tomato Sce.,Fish Cakes Cream or Tomato Sce.,1,0
"Aiguillette De Kingfish, Florentine","Aiguillette De Kingfish, Florentine",1,0
Que Placer Conachas,What a Pleasure Conachas,1,0
Fried Individual Flounder in Sweet Butter,Fried Individual Flounder in Sweet Butter,1,0
Salt macherel,Salt macherel,1,0
Terrapin a la Union Club,Terrapin a la Union Club,1,0
Cold Rollmops and potatoes,Cold Rollmops and potatoes,1,0
finnan haddie au gratin,finnan haddie au gratin,1,0
Little Neck Patties,Little Neck Patties,0,1
"Cold Sliced Egg, Tomato, Filets of Anchovies Monte Carlo","Cold Sliced Egg, Tomato, Filets of Anchovies Monte Carlo",1,0
"Fried Boston Scrod, Vegetables","Fried Boston Scrod, Vegetables",1,0
Filet de Brotola Marguery,Brotola Marguery fillet,1,0
Turbot Mayonnaise Antiboise,Turbot Mayonnaise Antiboise,1,0
"Scampi Grille, Renato","Scampi Grille, Renato",1,0
"Suggested Menu: Chilled Tomato Juice; Consomme San Remo; Poached Turbot, Hollandaise Sauce; Roast Vermont Turkey, Cranberry Sauce (Chestnut Stuffing); Chateau Potatoes; Avocado Pear Salad; Coupe Denise; Fresh Fruit; Coffee","Suggested Menu: Chilled Tomato Juice; Consomme San Remo; Poached Turbot, Hollandaise Sauce; Roast Vermont Turkey, Cranberry Sauce (Chestnut Stuffing); Chateau Potatoes; Avocado Pear Salad; Coupe Denise; Fresh Fruit; Coffee",1,0
La Paupiette de Sole Madison Sauce Nantua,Madison Sun Eyelid Sauce Nantua,1,0
Echte Haifischflossensuppe in der Tasse,Real shark fin soup in the mug,1,0
"A Salad of Bibb and Endive Lettuce, Shrimp and Avocado","A Salad of Bibb and Endive Lettuce, Shrimp and Avocado",0,1
Swordfish Natalie,Swordfish Natalie,1,0
Mussels Au Gratin. With garlic,Mussels Au Gratin. With garlic,1,0
