id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,seafood_yn,translatedText
113,Grapes,NA,887,950,1856,1969,0,125,0,Grapes
114,Honey in comb,NA,81,81,1892,1938,0,0.4,0,Honey in comb
115,Apples,NA,1215,1239,1851,2012,0.05,25,0,Apples
116,Oranges sliced,NA,7,7,1900,1913,0.15,0.25,0,Oranges sliced
117,Stewed tomatoes,NA,1204,1252,1852,1985,0,25,0,Stewed tomatoes
118,Large pot of coffee,NA,5,5,1900,1963,0,0.2,0,Large pot of coffee
119,Cup of coffee (served in small pot),NA,1,1,1900,1900,0,0,0,Cup of coffee (served in small pot)
120,Large pot of Oolong tea,NA,1,1,1900,1900,0.2,0.2,0,Large pot of Oolong tea
121,Pot of chocolate,NA,72,72,1892,1955,0.15,20,0,Pot of chocolate
122,Pitcher of milk,NA,9,11,1900,1914,0.1,0.15,0,Pitcher of milk
123,Pot of broma,NA,16,16,1893,1900,0.2,0.25,0,Pot of joke
125,"Eggs, boiled [2]",NA,6,6,1900,1918,0.2,0.25,0,"Eggs, boiled [2]"
126,Sliced Bananas and Cream,NA,163,169,1900,1949,0.05,0.45,0,Sliced Bananas and Cream
127,Baked Apples and Cream,NA,112,119,1882,1913,0.05,40,0,Baked Apples and Cream
128,Pettijohn Breakfast Food,NA,3,3,1900,1900,0,0,0,Pettijohn Breakfast Food
129,Quaker Oats,NA,84,86,1899,1958,0.2,0.25,0,Quaker Oats
131,Sugar Cured Ham,NA,76,79,1893,1987,0,4.15,0,Sugar Cured Ham
132,"PINE APPLE FRITTERS, SAUCE MARASCHINO",NA,3,3,1900,1900,0,0,0,"PINE APPLE FRITTERS, SAUCE MARASCHINO"
133,Planked shad,NA,58,58,1896,1907,0.3,150,1,Planked shad
134,"Baked bluefish, Duxelle",NA,2,2,1900,1900,0.6,0.6,1,"Baked bluefish, Duxelle"
136,Milk rice,NA,44,48,1900,1970,NA,NA,0,Milk rice
138,French rolls,NA,217,221,1880,1965,0.05,5,0,French rolls
139,Milk rolls,NA,49,49,1889,1939,0.01,0.1,0,Milk rolls
140,Corn muffins,NA,284,295,1881,1987,0,0.6,0,Corn muffins
141,Omelette aux fines herbes,NA,42,42,1900,1978,0,0.7,0,Omelette with herbs
142,Boiled eggs,NA,540,556,1853,1987,0,20,0,Boiled eggs
143,Bacon and eggs,NA,474,501,1889,1987,0,25,0,Bacon and eggs
144,Fish cakes,NA,148,156,1894,1953,0,15,1,Fish cakes
145,Food,NA,2,2,1900,1900,0,0,0,Food
146,Shreaded Wheat,NA,3,3,1900,1900,0,0,0,Shreaded Wheat
147,Clam cocktail,NA,269,287,1900,1968,0.05,25,1,Clam cocktail
148,Oyster cocktail,NA,461,498,1896,1987,0,30,1,Oyster cocktail
150,Little Neck clams,NA,998,1076,1882,1989,0,50,1,Little Neck clams
151,Stuffed olives,NA,465,472,1862,1969,0,50,0,Stuffed olives
153,Malaga grapes,NA,351,353,1882,1941,0.1,40,0,Malaga grapes
155,Oatmeal,NA,532,610,1,1988,0,20,0,Oatmeal
156,hominy with milk,NA,33,33,1900,1943,0,0,0,hominy with milk
157,Baked apples,NA,263,265,1865,1972,0.05,20,0,Baked apples
158,"PATTIES OF SWEET BREADS, A LA TOULOUSE",NA,3,3,1900,1900,0,0,0,"PATTIES OF SWEET BREADS, A LA TOULOUSE"
159,"Chicken broth, per cup",NA,7,7,1900,1915,0.2,0.3,0,"Chicken broth, per cup"
160,"Terrapin, Maryland",NA,100,112,1887,1917,0.65,350,1,"Terrapin, Maryland"
161,Sardines on toast,NA,62,62,1881,1964,0,0.5,1,Sardines on toast
164,Tutti frutti,NA,124,137,1883,1969,0.2,25,0,Tutti Frutti
165,Lady fingers,NA,341,347,1858,1949,0.05,15,0,Lady fingers
166,Marrow bones on toast,NA,13,13,1887,1910,0,0,0,Marrow bones on toast
167,Fresh mushrooms on toast,NA,58,59,1891,1952,0.4,50,0,Fresh mushrooms on toast
168,Farm Sausage,NA,6,6,1900,1955,0,0,0,Farm Sausage
169,Club sandwich,NA,639,657,1896,2928,0,40,0,Club sandwich
170,Baked Stuffed Mullet & Sauce Pomard,NA,2,2,1900,1900,NA,NA,1,Baked Stuffed Mullet & Sauce Pomard
171,Thon marine,NA,43,43,1896,1957,0.25,0.5,1,Marine tuna
172,Croquettes of sweetbreads,NA,7,7,1885,1900,1,1,0,Croquettes of sweetbreads
175,Strawberry,NA,97,102,1865,1973,0,4.25,0,Strawberry
176,Oyster Bay asparagus,NA,271,279,1895,1941,0.15,75,0,Oyster Bay asparagus
177,"SMALL TENDERLOIN STEAK, A LA STANLEY",NA,3,3,1900,1900,0,0,0,"SMALL TENDERLOIN STEAK, A LA STANLEY"
181,Chicken broth,NA,401,412,1881,1971,0,50,0,Chicken broth
182,Fruits in Season,NA,136,137,1889,1987,0,3.95,0,Fruits in Season
183,"Salt Codfish, Spanish Style",NA,3,3,1901,1901,0,0,1,"Salt Codfish, Spanish Style"
184,Oatmeal Porridge,NA,163,163,1853,1962,0.15,0.15,0,Oatmeal Porridge
186,Plain Omelette,NA,322,355,1881,1987,0,15,0,Plain Omelette
190,Puree of beans,NA,6,6,1900,1918,0.1,0.1,0,Puree of beans
191,Fried Flounders,NA,10,10,1900,1901,0.15,15,1,Fried Flounders
192,Strawberry short cake,NA,278,283,1882,1987,0,125,0,Strawberry short cake
194,Fried fish,NA,112,112,1856,1971,0,1.75,1,Fried fish
195,Oxford Sausage,NA,6,6,1900,1900,1.2,1.2,0,Oxford Sausage
196,BUZZARD BAY OYSTERS,NA,62,62,1898,1907,0.2,0.6,1,BUZZARD BAY OYSTERS
197,Strained gumbo,NA,34,35,1895,1969,0.25,30,0,Strained gumbo
199,Queen olives,NA,689,706,1865,1965,0,15,0,Queen olives
200,Chow chow,NA,676,687,1865,1965,0,20,0,Chow chow
201,"Panfish, Meuniere",NA,1,1,1900,1900,0,0,1,"Panfish, Meuniere"
202,German fried potatoes,NA,136,142,1898,1969,0.05,0.5,0,German fried potatoes
203,Ribs of prime beef,NA,141,143,1891,1921,0.25,50,0,Ribs of prime beef
204,"Calf's tongue, caper sauce",NA,2,2,1900,1900,0,0,0,"Calf's tongue, caper sauce"
208,Luncheon,NA,19,18,1900,1993,0.65,0.65,0,Luncheon
211,Assorted cakes,NA,1332,1356,1880,2012,0,30,0,Assorted cakes
212,"Scollops en caisse, Supreme",NA,2,2,1900,1900,0.4,0.4,1,"Scollops in crate, Supreme"
213,Irish stew,NA,161,192,1864,1955,0,0.5,0,Irish stew
214,"Marrow on toast, Bordelaise",NA,5,5,1900,1900,0,0,0,"Marrow on toast, Bordelaise"
215,Lobster salad,NA,1511,1566,1858,1995,0,100,1,Lobster salad
216,Potato salad,NA,1306,1336,1881,1987,0,25,0,Potato salad
217,Chicken salad,NA,1810,1880,1858,1987,0,100,0,Chicken salad
218,Spinach with egg,NA,211,217,1896,1965,0.1,20,0,Spinach with egg
219,Boiled potatoes,NA,2074,2129,1858,1974,0,20,0,Boiled potatoes
221,Hot buns,NA,10,10,1900,1901,0.1,0.1,0,Hot buns
222,Tongue,NA,692,733,1851,1965,0,95,0,Tongue
223,Lemon ice cream,NA,133,133,1852,1981,0,25,0,Lemon ice cream
224,Pickled lambs' tongues,NA,54,54,1895,1962,0.3,0.5,0,Pickled lambs' tongues
225,Blackberry tarts,NA,4,4,1881,1900,0.15,0.15,0,Blackberry tarts
226,Apricots,NA,242,252,1883,2012,0,0.75,0,Apricots
227,Red currant jam,NA,5,5,1900,1921,0.15,0.15,0,Red currant jam
228,Chipped beef,NA,55,55,1892,1953,0,40,0,Chipped beef
229,Turkey,NA,434,445,1851,1987,0,80,0,Turkey
230,Crackers,NA,966,986,1854,1987,0,10,0,Crackers
231,Chocolate,NA,1489,1567,1858,1987,0,30,0,Chocolate
232,Roast beef,NA,1223,1333,1851,1987,0,75,0,Roast beef
233,Corned beef,NA,820,878,1862,1985,0,50,0,Corned beef
235,Lamb,NA,428,438,1865,1949,0,60,0,Lamb
236,Cumberland ham,NA,66,66,1896,1938,0,0,0,Cumberland ham
237,Chicken,NA,678,818,1866,1985,0,125,0,Chicken
238,Fried Eggs,NA,549,564,1856,1987,0,20,0,Fried Eggs
239,Broiled Ham,NA,622,635,1,1970,0,25,0,Broiled Ham
240,Roast veal,NA,69,73,1856,1957,0,20,0,Roast veal
241,Rolls,NA,433,496,1881,1989,0,2.5,0,Rolls
242,Griddle cakes,NA,128,138,1858,1987,0,3.85,0,Griddle cakes
244,Porterhouse Steak,NA,261,267,1884,1962,0,5,0,Porterhouse Steak
246,Tenderloin Steak,NA,588,610,1858,1980,0.15,80,0,Tenderloin Steak
247,Sirloin Steak,NA,912,929,1,1987,0,235,0,Sirloin Steak
248,"Filet mignon, Lyonnaise",NA,2,2,1900,1900,0,0,0,"Filet mignon, Lyonnaise"
249,All Kinds of Pies per cut,NA,2,2,1900,1900,0.05,0.05,0,All Kinds of Pies per cut
251,Sandwiches of all Kinds,NA,2,2,1900,1900,0,0,0,Sandwiches of all Kinds
252,Small Steak,NA,383,389,1892,1957,0,75,0,Small Steak
253,Hamburger Steak,NA,319,360,1893,1987,0,20,0,Hamburger Steak
254,Veal Chops or Cutlets,NA,3,3,1900,1900,0.3,0.5,0,Veal Chops or Cutlets
256,Pork Chops,NA,408,433,1853,1988,0,40,0,Pork Chops
257,Ham & Eggs,NA,24,24,1881,1964,0,4.95,0,Ham & Eggs
258,Bacon & Eggs,NA,26,26,1900,1957,0,4.75,0,Bacon & Eggs
259,Fried Liver,NA,29,31,1856,1961,0,10,0,Fried Liver
260,German Pancake,NA,206,212,1889,1969,0.15,3.95,0,German Pancake
262,Oysters & Clams,NA,1,1,1900,1900,0,0,1,Oysters & Clams
270,Hominy,NA,421,510,1,1969,0.1,0.35,0,Hominy
271,Omelette a l'Oseille,NA,5,5,1901,1901,0,0,0,Sorrel omelete
272,Eggs au Beurre Noir,NA,45,46,1896,1941,0.19,30,0,Black Butter Eggs
275,Sirloin Steak with Mushrooms,NA,231,233,1884,1939,0,75,0,Sirloin Steak with Mushrooms
276,Grilled Ham,NA,51,53,1892,1989,0,5.5,0,Grilled Ham
277,Calves Liver & Bacon,NA,18,18,1900,1958,0.4,2.75,0,Calves Liver & Bacon
278,Lamb Hash - en Bordure,NA,1,1,1901,1901,0,0,0,Lamb Hash Border
279,Mutton Chops - Mashed Potatoes,NA,1,1,1901,1901,0,0,0,Mutton Chops - Mashed Potatoes
280,Corn Cakes,NA,146,148,1,1953,0.02,0.55,0,Corn Cakes
281,Marmalade,NA,718,751,1888,1973,0,25,0,Marmalade
282,Jam,NA,248,267,1892,1981,0,1.25,0,Hour
283,Cocoa,NA,1636,1704,1865,1987,0,25,0,Cocoa
284,Oat Meal,NA,68,81,1880,1957,0.1,0.4,0,Oat Meal
286,Scrambled Eggs,NA,571,586,1853,1987,0,28,0,Scrambled Eggs
287,Poached Eggs on Toast,NA,347,351,1892,1968,0,20,0,Poached Eggs on Toast
288,Broiled Fresh Mackerel,NA,120,132,1887,1962,0,2.5,1,Broiled Fresh Mackerel
290,Chicken Liver with Bacon,NA,2,2,1901,1901,0,0,0,Chicken Liver with Bacon
291,Minced Veal a la Zingari,NA,4,4,1900,1901,0,0,0,Minced Veal a la Zingari
293,Lyonnaise Potatoes,NA,728,746,1,1989,0,30,0,Lyonnaise Potatoes
298,Baked Weakfish,NA,3,3,1900,1901,0.15,0.15,1,Baked Weakfish
300,Half and Half Scallops & Oysters,NA,1,1,1900,1900,0,0,1,Half and Half Scallops & Oysters
305,Pork Chops Piquante Sauce,NA,2,2,1901,1901,0,0,0,Hot Pork Chops Sauce
310,Broiled Kidney with Bacon,NA,2,2,1901,1901,0,0,0,Broiled Kidney with Bacon
315,Dry Toast,NA,719,743,1856,1981,0,10,0,Dry Toast
316,Bunns,NA,5,5,1900,1901,0,0,0,Bunns
317,Graham Muffins,NA,60,60,1897,1940,0.1,0.2,0,Graham Muffins
320,Hot Cakes,NA,32,32,1900,1969,0,0.5,0,Hot Cakes
321,Tea and Coffee,NA,42,42,1900,1937,0.1,0.1,0,Tea and Coffee
322,"Ponche de huevo, sambayon, frolada, con pan",NA,4,4,1900,1900,0.25,0.25,0,"Eggnog, sambayon, frolada, with bread"
324,Findon Haddock,NA,31,31,1899,1905,0,0,1,Findon Haddock
327,Boiled Whiting and Parsley Sauce,NA,1,1,1900,1900,0,0,1,Boiled Whiting and Parsley Sauce
328,Haricot Mutton,NA,11,11,1900,1910,0,0,0,Haricot Mutton
329,Sausages and Mashed Potatoes,NA,2,2,1900,1915,0.25,0.25,0,Sausages and Mashed Potatoes
331,Veal and Ham Pie,NA,50,50,1900,1971,0,1,0,Veal and Ham Pie
332,Roast Lamb,NA,201,204,1851,1957,0,80,0,Roast Lamb
333,Fried Flounder,NA,28,29,1899,1937,0,0,1,Fried Flounder
335,Fillet Steaks aux Champignon,NA,1,1,1901,1901,0,0,0,Fillet Steaks with Mushrooms
336,oatmeal with cream,NA,104,104,1897,1952,0.1,25,0,oatmeal with cream
337,broiled shad,NA,119,125,1881,1940,0.25,60,1,broiled shad
338,Milk stew,NA,47,51,1894,1947,0.2,40,0,Milk stew
343,Beef Steak,NA,58,58,1865,1944,0,1,0,Beef Steak
344,Saratoga Chips,NA,414,443,1881,1969,0.05,0.3,0,Saratoga Chips
346,Grilled Mutton Chops,NA,35,35,1892,1910,NA,NA,0,Grilled Mutton Chops
347,Dried Hash,NA,23,23,1900,1901,0,0,0,Dried Hash
350,Sausage,NA,55,57,1894,1987,0,25,0,Sausage
351,Porto-Rico,NA,1,1,1901,1901,0,0,0,Puerto Rico
352,Buckwheat Cakes,NA,346,350,1,1962,0,20,0,Buckwheat Cakes
353,Sliced Pineapples,NA,3,3,1896,1918,0.25,0.25,0,Sliced Pineapples
355,Broiled Salt Mackerel,NA,131,136,1859,1949,0,0.8,1,Broiled Salt Mackerel
356,Shad roe and bacon,NA,64,66,1899,1963,0.2,3.5,1,Shad roe and bacon
358,Minced scallops on toast,NA,5,5,1900,1900,0,0,1,Minced scallops on toast
359,Steak Pie,NA,4,4,1901,1917,0.15,0.2,0,Steak Pie
360,Mutton,NA,282,328,1865,1917,0.15,60,0,Mutton
366,Fry with Bacon,NA,11,11,1900,1919,0.35,0.6,0,Fry with Bacon
367,Oyster Omelette,NA,71,85,1892,1946,0.2,25,1,Oyster Omelette
369,Pork Sausage,NA,27,27,1900,1958,0.25,0.35,0,Pork Sausage
370,Corned Beef Hash,NA,616,675,1,1959,0.1,25,0,Corned Beef Hash
371,"Broiled Mackerel, Butter Sauce",NA,2,2,1901,1901,0,0,1,"Broiled Mackerel, Butter Sauce"
372,Mock Turtle,NA,140,142,1865,1966,0,40,1,Mock Turtle
375,Puree of Tomatoes,NA,104,105,1866,1939,0.1,0.4,0,Puree of Tomatoes
376,Filet Steaks aux Champignon,NA,1,1,1901,1901,0,0,0,Filet Steaks with Mushrooms
378,"Minced Chicken, Creamed Rice",NA,1,1,1901,1901,0,0,0,"Minced Chicken, Creamed Rice"
381,"Tripe, Spanish Style",NA,3,3,1901,1901,0,0,0,"Tripe, Spanish Style"
385,Eggs to order,NA,263,264,1891,1973,NA,NA,0,Eggs to order
386,Consomme Maceo,NA,1,1,1900,1900,0.2,0.2,0,Consume Maceo
391,Chicken Mulligatawny,NA,38,41,1897,2001,0.2,0.4,0,Chicken Mulligatawny
392,Split Rolls,NA,21,21,1900,1901,0,0,0,Split Rolls
394,French bread,NA,291,293,1882,1970,0.05,0.15,0,French bread
395,Corn bread,NA,270,272,1853,1941,0,10,0,Corn bread
396,Crumb Fry,NA,8,10,1900,1919,0.3,0.45,0,Crumb Fry
397,English Beef,NA,12,12,1900,1913,0.1,0.4,0,English Beef
398,Beef Stew,NA,83,93,1899,1980,0,15,0,Beef Stew
399,Tomato Soup,NA,317,352,1852,1974,0,10,0,Tomato Soup
401,Filet of sole a la Horly,NA,4,4,1900,1913,0.6,0.8,1,Filet of sole a la Horly
402,Diamond back terrapin,NA,6,6,1897,1905,2,2,1,Diamond back terrapin
405,Sausage & Mashed Potatoes,NA,3,3,1900,1901,0,0,0,Sausage & Mashed Potatoes
406,"Fried Jew Fish, Sauce Tartare",NA,1,1,1901,1901,0,0,1,"Fried Jew Fish, Sauce Tartare"
407,Fruit in Season,NA,193,202,1890,1987,0,20,0,Fruit in Season
408,GREEN PEAS,NA,1341,1378,1858,1985,0,75,0,GREEN PEAS
409,Fried country sausage and buckwheat cakes,NA,3,3,1900,1900,0,0,0,Fried country sausage and buckwheat cakes
410,Stewed california prunes,NA,8,8,1900,1948,0.15,0.3,0,Stewed california prunes
411,Ham omelette,NA,147,153,1891,1985,0,15,0,Ham omelette
412,Fried hominy,NA,190,190,1881,1967,0.1,0.25,0,Fried hominy
413,Broiled bluefish,NA,218,225,1880,1963,0.2,60,1,Broiled bluefish
414,"Egg, to order",NA,2,2,1900,1900,0,0,0,"Egg, to order"
417,Boiled or Broiled Salt Mackerel,NA,13,13,1900,1917,0.25,40,1,Boiled or Broiled Salt Mackerel
418,Whitefish,NA,44,45,1900,1917,0.3,0.75,1,Whitefish
419,"Shad, Maitre d'Hotel",NA,7,7,1900,1901,0.5,0.5,1,"Shad, Maitre d'Hotel"
420,Codfish in Cream,NA,89,90,1,1941,0,0.6,1,Codfish in Cream
421,Fried Scollops,NA,36,36,1865,1917,0.25,0.85,1,Fried Scollops
422,Breakfast Bacon,NA,188,191,1891,1969,0.15,0.75,0,Breakfast Bacon
423,Calf's Liver and Bacon,NA,362,374,1,1967,0,40,0,Calf's Liver and Bacon
424,Pork Spare Ribs,NA,5,5,1900,1900,0,0,0,Pork Spare Ribs
425,English Mutton Chops,NA,82,82,1889,1958,0.25,50,0,English Mutton Chops
426,Broiled Spring Chicken,NA,226,231,1859,1958,0.1,100,0,Broiled Spring Chicken
427,Sirloin or Tenderloin Steak,NA,3,3,1900,1901,NA,NA,0,Sirloin or Tenderloin Steak
429,"Corned Beef Hash, Browned",NA,59,61,1898,1940,0.15,30,0,"Corned Beef Hash, Browned"
430,"Veal Cutlets, Breaded, Tomato Sauce",NA,31,31,1882,1913,0.2,1,0,"Veal Cutlets, Breaded, Tomato Sauce"
431,"Stewed Honeycomb Tripe, Lyonnaise",NA,3,3,1900,1900,0,0,0,"Stewed Honeycomb Tripe, Lyonnaise"
432,"Frizzled Beef, in Cream",NA,6,6,1900,1901,0.3,0.4,0,"Frizzled Beef, in Cream"
433,Eggs as Ordered,NA,82,83,1898,1949,NA,NA,0,Eggs as Ordered
437,Fried Indian Mush or Hominy,NA,1,1,1900,1900,0,0,0,Fried Indian Mush or Hominy
439,French Fried,NA,63,65,1893,1973,0,30,0,French Fried
440,Lyonnaise,NA,103,105,1894,1967,0,35,0,Lyonnaise
441,Stewed in Cream,NA,26,27,1900,2928,0.15,40,0,Stewed in Cream
442,Saute,NA,29,30,1900,1961,0.15,15,0,Jumped up
443,"Rye, Graham or Boston Brown Bread",NA,1,1,1900,1900,0,0,0,"Rye, Graham or Boston Brown Bread"
444,Shredded Wheat Biscuits,NA,33,33,1899,1921,0,0.3,0,Shredded Wheat Biscuits
445,Vienna Rolls,NA,143,144,1891,1954,0.03,0.15,0,Vienna Rolls
446,Papovers,NA,3,3,1900,1900,0,0,0,Papovers
447,"wheat or Buckwheat Cakes, with Maple Syrup",NA,1,1,1900,1900,0,0,0,"wheat or Buckwheat Cakes, with Maple Syrup"
448,Corn Meal Mush,NA,29,29,1892,1918,0.1,0.1,0,Corn Meal Mush
449,Boiled,NA,53,54,1851,1967,0,25,0,Boiled
453,Broiled Blue Fish,NA,44,49,1865,1957,0.2,3.75,1,Broiled Blue Fish
455,Chicken Liver on Toast with Bacon,NA,3,3,1901,1901,0,0,0,Chicken Liver on Toast with Bacon
458,"PUNCH, REPUBLICAN",NA,3,3,1900,1900,0,0,0,"PUNCH, REPUBLICAN"
459,Puff over,NA,1,1,1900,1900,0.1,0.1,0,Puff over
460,Passion Fruit,NA,10,10,1901,1901,0,0,0,Passion Fruit
461,Kippered Herrings,NA,124,124,1899,1955,0,0.5,1,Kippered Herrings
462,Curried Pork and Rice,NA,17,17,1900,1901,0,0,0,Curried Pork and Rice
463,Stewed Tripe with Cream sauce,NA,1,1,1901,1901,0,0,0,Stewed Tripe with Cream sauce
466,"Eggs, boiled",NA,168,172,1880,1970,0.1,20,0,"Eggs, boiled"
467,Fillets of Beef with Mushrooms,NA,1,1,1901,1901,0,0,0,Fillets of Beef with Mushrooms
